index,Beds,Baths,Area,Noise,PropertyType,DaysOnRealtor.com,YearBuilt,Latitude,Longitude,City_x,County,FemaInfo,FloodFactorInfo,LastSoldYear,SizeRank
622,3.0,2.5,1640.0, Medium,Townhome,104.0,1973.0,25.9371,-80.13373299999998,North Miami Beach,Miami-Dade County,AE   (),flood_factor_high,2009.0,79
811,3.0,3.5,1862.0, Medium,Condo,1021.0,2004.0,25.842794,-80.122788,Miami Beach,Miami-Dade County,AE   (),flood_factor_high,2010.0,636
734,4.0,3.0,1932.0, Medium,Single Family Home,51.0,1987.0,28.044071999999996,-82.401205,Tampa,Hillsborough County,X   (),flood_factor_low,2004.0,1023
387,3.0,2.0,1750.0, Medium,Townhome,33.0,2005.0,27.752627,-82.414638,Apollo Beach,Hillsborough County,AE   (),flood_factor_high,2012.0,5376
364,3.0,2.0,1732.0, Low,Single Family Home,17.0,1985.0,26.716496999999997,-80.216349,Royal Palm Beach,Palm Beach County,X   (),flood_factor_low,2017.0,90
230,4.0,3.5,3004.0, Medium,Single Family Home,22.0,1959.0,30.306962,-81.406902,Jacksonville Beach,Duval County,X   (),flood_factor_low,2011.0,2488
32,2.0,2.0,850.0, Medium,Condo,36.0,1983.0,26.161986,-80.288022,Sunrise,Broward County,X500   (),flood_factor_low,2020.0,952
650,5.0,5.0,3726.0, Low,Single Family Home,27.0,1988.0,30.073620000000002,-81.697918,Fleming Island,Clay County,X   (),flood_factor_low,2014.0,4380
514,3.0,2.5,1692.0, Medium,Townhome,46.0,2007.0,28.149964,-80.644749,Melbourne,Brevard County,X   (),flood_factor_low,2017.0,912
891,3.0,2.0,1573.0, Medium,Single Family Home,80.0,1988.0,27.118948,-80.171338,Hobe Sound,Martin County,AE   (),flood_factor_low,2009.0,4235
184,3.0,2.0,1337.0, Low,Townhome,64.0,2021.0,28.354304,-82.58322199999998,Hudson,Pasco County,X   (),flood_factor_low,2020.0,7859
253,3.0,2.0,1239.0, Medium,Single Family Home,72.0,1961.0,25.874264,-80.314918,Hialeah,Miami-Dade County,AH   (),flood_factor_low,2012.0,270
671,2.0,1.5,1344.0, Medium,Townhome,13.0,1986.0,26.068035000000002,-80.24056800000002,Davie,Broward County,X500   (),flood_factor_low,2002.0,4443
1,2.0,2.0,1479.0, Medium,Condo,156.0,2008.0,26.232514000000002,-80.091608,Pompano Beach,Broward County,X500   (),flood_factor_high,2015.0,1036
918,2.0,2.0,1275.0, Medium,Condo,110.0,2002.0,26.215873,-80.288863,Tamarac,Broward County,X500   (),flood_factor_low,2018.0,401
984,3.0,2.0,1671.0, Medium,Single Family Home,40.0,1993.0,26.932471999999997,-80.10941899999997,Jupiter,Palm Beach County,X   (),flood_factor_low,2001.0,507
936,4.0,2.0,2347.0, Medium,Single Family Home,28.0,1987.0,26.222963,-80.272198,Tamarac,Broward County,AH   (),flood_factor_low,2019.0,401
946,4.0,2.0,2537.0, High,Single Family Home,83.0,1952.0,26.091332,-80.151045,Fort Lauderdale,Broward County,AH   (),flood_factor_high,1998.0,7517
131,2.0,2.0,1082.0, Medium,Single Family Home,34.0,1959.0,26.094576,-80.157492,Fort Lauderdale,Broward County,AH   (),flood_factor_high,2020.0,7517
112,3.0,2.0,1777.0, Medium,Single Family Home,34.0,1979.0,26.159511,-80.307177,Fort Lauderdale,Broward County,AH   (),flood_factor_low,1996.0,6109
506,4.0,4.0,3191.0, Medium,Single Family Home,184.0,2002.0,28.172225,-82.358641,Wesley Chapel,Pasco County,X   (),flood_factor_low,2020.0,5107
567,4.0,3.0,3471.0, Medium,Single Family Home,95.0,2007.0,28.285003000000003,-80.738336,Rockledge,Brevard County,X   (),flood_factor_low,2008.0,1679
905,5.0,2.5,3224.0, N/A,Single Family Home,34.0,2017.0,28.0665,-80.678441,Melbourne,Brevard County,X   (),flood_factor_low,2017.0,2530
273,3.0,2.0,1440.0, Low,Single Family Home,23.0,1998.0,28.001362,-80.708221,Palm Bay,Brevard County,X   (),flood_factor_low,2018.0,1528
