index,Beds,Baths,Area,Noise,PropertyType,DaysOnRealtor.com,YearBuilt,Latitude,Longitude,City_x,County,FemaInfo,FloodFactorHigh,LastSoldYear,SizeRank,yearly_price_delta,yearly_price_delta_percent
0,2.0,2.0,1350.0, Medium,Condo,412.0,1970.0,26.118226,-80.106961,Fort Lauderdale,Broward County,X500   (),True,2019,6556,-6211.727272727272,0.047573898300748124
1,2.0,2.0,1479.0, Medium,Condo,156.0,2008.0,26.232514,-80.091608,Pompano Beach,Broward County,X500   (),True,2015,1036,-9893.727272727272,-0.18242953715046792
2,2.0,2.0,1522.0, Medium,Single Family Home,43.0,1955.0,26.218289,-80.10140200000002,Pompano Beach,Broward County,AE   (),True,2010,1036,5938.454545454546,0.7418725696687619
3,2.0,2.0,1028.0, Medium,Condo,62.0,1964.0,26.243361,-80.08722399999998,Pompano Beach,Broward County,VE   (),True,2019,1036,-7042.545454545455,0.34961382025551835
4,2.0,2.0,1140.0, Medium,Condo,691.0,1970.0,26.244593,-80.087189,Pompano Beach,Broward County,X   (),False,2012,1036,5906.959595959597,1.271676486014374
5,1.0,1.0,845.0, Medium,Condo,178.0,1965.0,25.79045,-80.12902700000002,Miami Beach,Miami-Dade County,AE   (),True,2015,101,8985.424242424242,0.31971359940174265
6,1.0,1.0,820.0, Medium,Condo,179.0,1965.0,25.79045,-80.12902700000002,Miami Beach,Miami-Dade County,AE   (),True,2014,101,-2632.818181818182,-0.11925284793797787
7,3.0,3.0,2150.0, Medium,Condo,177.0,1957.0,26.463537,-80.058697,Delray Beach,Palm Beach County,X   (),True,2018,5841,13435.39393939394,0.5366570681966643
8,3.0,3.0,2048.0, Medium,Single Family Home,42.0,1948.0,26.495907,-80.061208,Delray Beach,Palm Beach County,X500   (),True,2014,5841,-23799.363636363636,0.8154948220608145
9,2.0,2.5,1757.0, Low,Condo,118.0,2002.0,25.766816,-80.132849,Miami Beach,Miami-Dade County,AE   (),True,2008,101,66670.04195804195,0.8364006866824834
10,2.0,2.5,1757.0, Low,Condo,224.0,2002.0,25.766816,-80.132849,Miami Beach,Miami-Dade County,AE   (),True,2003,101,109819.9494949495,1.834153576478478
11,2.0,2.0,1088.0, Medium,Condo,243.0,2008.0,25.781948,-80.142781,Miami Beach,Miami-Dade County,AE   (),True,2014,101,-8122.558441558443,-0.19846332187507232
12,2.0,2.5,1862.0, Low,Condo,106.0,2008.0,25.767864000000007,-80.13282199999998,Miami Beach,Miami-Dade County,AE   (),True,2011,101,48451.53636363637,0.2394578720537156
13,2.0,2.0,1193.0, Medium,Condo,89.0,1986.0,26.004306,-80.32058599999998,Pembroke Pines,Broward County,X500   (),True,2020,292,-10460.909090909092,0.3491287521420182
14,2.0,1.5,1075.0, Medium,Condo,172.0,1976.0,25.996491,-80.120727,Hallandale Beach,Broward County,AE   (),True,2011,230,-2183.4727272727278,1.239354989789316
15,2.0,1.0,1086.0, Medium,Condo,131.0,2005.0,25.984324,-80.11886,Hallandale Beach,Broward County,AE   (),True,2017,230,-1947.5454545454545,0.020472741525929213
16,2.0,2.0,1248.0, Medium,Condo,255.0,1970.0,25.978167000000006,-80.119321,Hallandale Beach,Broward County,X   (),True,2016,230,-2400.345454545455,0.031073113376269293
